Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,0.9842,0.0002
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,0.984,0.0002
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,0.9867,0.0002
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,0.9849,0.0002
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 args=--constraint-method project-gradient,momentum-sign,120.187,3.4863
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 args=--constraint-method project-gradient,momentum-sign,119.691,3.4863
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 args=--constraint-method project-gradient,momentum-sign,119.678,3.4863
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 args=--constraint-method project-gradient,momentum-sign,118.839,3.4863
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 args=--constraint-method project-gradient,momentum-sign,119.889,3.4863
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,105.2437,3.4811
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,104.7088,3.4811
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,106.0325,3.4811
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,105.4375,3.4811
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,106.1587,3.4811
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,lr=0.1 args=--constraint-method project-gradient,momentum-sign,35.392,0.8502
