Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 Logistic Sigmoid,adam,840.657,3.4999
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 Logarithmic Barrier,momentum-sign,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 Project without gradient,momentum-sign,99.829,3.4863
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 Project with gradient,momentum-sign,100.584,3.4863
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 Logistic Sigmoid,momentum-sign,511.601,3.4992
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 Logarithmic Barrier,nesterov-sign,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 Project without gradient,nesterov-sign,105.195,3.4833
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 Project with gradient,nesterov-sign,105.15,3.4833
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.1 Logistic Sigmoid,nesterov-sign,818.943,3.4976
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.01 Logarithmic Barrier,adam,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.01 Project without gradient,adam,957.459,3.4998
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,lr=0.01 Project with gradient,adam,951.06,3.4998
